MATRICULA,ANO_INGRESSO,ANO_EVASAO,PERIODO_INGRESSO,SEXO,FAIXA_ETARIA,IDADE,ETNIA,ESTADO_CIVIL,TEMPO_CURSO,PERIODO_ATUAL,POSICAO_SEM,COD_COTA,MEDIA_REFEICOES_SEM_RU,MEDIA_RETIRADAS_SEM_BIBLIOTECA,BOLSISTA,MORADIA_CEU,MONITORIA,FORMACAO_ENSINO_MEDIO,INICIOU_CURSO_SUPERIOR,COMO_MANTER_DURANTE_CURSO,MOTIVO_OPTOU_CURSO,PLANO_ENSINO,ORIENTACAO_LABORATORIOS,ATUACAO_COORDENADOR,PRATICA_ESTAGIO,CORPO_DOCENTE,APROVADAS,REPROVADAS,REP_FREQ,DISP_NOTA,TRANC_TOT,TRANC_PARC,MATRICULADAS,TOTAL,MEDIA,DESEMP_ACAD,MEDIA_DISC_MATRICULA,ATEND_PSICOSOCIAL,BOLSA_BSE,BOLSA_BSE_ATIVA_SEM,BOLSA_BSE_SITUACAO,BOLSA_BSE_TEMPO_TOTAL_DIAS,BOLSA_BSE_TEMPO_CORRENTE_DIAS,BOLSA_BSE_DT_INICIO,BOLSA_BSE_DT_TERMINO,NOTA_LING,NOTA_HUMA,NOTA_NATU,NOTA_MATE,NOTA_REDA,MEDIDA_BAIRRO,DIASACESSOONLINE,TOTAL_SESSOES,TEMPO_TOTAL_SEG,TOTAL_HIGHLIGHTS,TOTAL_BOOKMARKS,PREVISAO_ANTERIOR,DIFICULDADE_ESTUDANTE,CRA,MEDIA_APROVADAS,MEDIA_REPROVADAS,MEDIA_REP_FREQ,MEDIA_DISP_NOTA,MEDIA_MATRICULADAS,TOTAL_PROJETOS,CEP_ENDERECO,PRIMEIRA_GERACAO_SUPERIOR,ANO_INGRESSO_INSTITUICAO,IDADE_INGRESSO_CURSO,INGRESSO_MESMO_CURSO,MATRICULAS_OUTRO_CURSO,TIPO_CHAMADA_INGRESSO,FORMA_EVASAO,CLASSE
'202310638',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'S',70.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,8.59,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,571.80,637.10,557.10,657.10,860.00,1,?,?,?,?,?,?,0.2247750169908236,8.35,0.454,0.0,0.0,0.0,0.545,1,97105115,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202112438',2021,,'1. Semestre','M',1,22,'BRANCA','Não informado',2,6,1,'S',36.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,25,2,0,0,0,0,5,32,7.9,1,8.0, 'Nao', 'F', 'F',?,0,0,?,?,561.40,581.40,578.30,605.20,680.00,4,1          ,1          ,3          ,0          ,0          ,3          ,0.3990234287929515,7.99,0.781,0.062,0.0,0.0,0.156,0,97200000,'N',2021,19,0,0,'Chamada','Aluno Regular','Regular'
'202312057',2023,,'1. Semestre','M',1,21,'BRANCA','Não informado',0,2,1,'S',30.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,3,2,0,0,0,0,4,9,5.78,0,1.0, 'Nao', 'T', 'T', 'A',1573,136,'10/04/2023','31/07/2027',551.00,585.00,459.30,622.90,600.00,4,?,?,?,?,?,?,-0.1345591536762673,5.64,0.333,0.222,0.0,0.0,0.444,1,97650000,'N',2023,20,0,0,'Chamada','Aluno Regular','Regular'
'202310652',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,8.71,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,573.20,636.70,612.70,752.60,780.00,4,?,?,?,?,?,?,0.2247750169908236,8.47,0.454,0.0,0.0,0.0,0.545,1,96508186,'N',2023,19,0,0,'Listão','Aluno Regular','Regular'
'202211475',2022,,'1. Semestre','M',1,19,'OUTRA','Não informado',1,3,0,'S',48.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,7,2,1,0,2,0,0,12,5.84,0,6.0, 'Nao', 'T', 'F',?,0,0,?,?,528.60,437.50,407.30,604.70,520.00,3,?,?,?,?,?,5          ,0.2411086075434675,5.92,0.583,0.166,0.083,0.0,0.0,1,97043190,'N',2022,18,0,0,'Listão','Aluno Regular','Regular'
'202112456',2021,,'1. Semestre','M',2,24,'BRANCA','Não informado',2,6,1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,25,0,0,0,0,0,3,28,8.02,1,7.0, 'Nao', 'F', 'F',?,0,0,?,?,595.90,612.60,521.90,610.70,620.00,2,1          ,8          ,469        ,0          ,0          ,5          ,0.5027558077651546,7.78,0.892,0.0,0.0,0.0,0.107,0,97010000,'N',2019,21,0,1,'Chamada','Aluno Regular','Regular'
'202110657',2021,,'1. Semestre','M',1,20,'BRANCA','Não informado',2,6,1,'N',31.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,27,0,0,0,0,1,8,36,8.8,1,9.0, 'Nao', 'F', 'F',?,0,0,?,?,650.70,667.70,662.70,691.60,800.00,3,1          ,3          ,228        ,0          ,0          ,4          ,0.4735632336957917,8.53,0.75,0.0,0.0,0.0,0.222,0,97030260,'S',2021,18,0,0,'Listão','Aluno Regular','Regular'
'202311424',2023,,'1. Semestre','M',1,20,'OUTRA','Não informado',0,2,1,'S',175.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,4,9,7.85,1,1.0, 'Nao', 'T', 'T', 'A',1586,149,'28/03/2023','31/07/2027',562.90,523.50,463.20,613.40,640.00,4,?,?,?,?,?,?,0.2247750169908236,7.76,0.555,0.0,0.0,0.0,0.444,1,97650000,'S',2023,20,0,0,'Listão','Aluno Regular','Regular'
'201911167',2019,,'1. Semestre','M',2,24,'BRANCA','Não informado',4,6,-3,'S',9.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,19,1,0,2,0,0,26,1.75,-1,3.25, 'Nao', 'F', 'F',?,0,0,?,?,606.00,663.80,544.20,607.80,620.00,?,1          ,1          ,78         ,0          ,0          ,9          ,-0.4908084232968357,1.65,0.153,0.73,0.038,0.0,0.0,0,?,'S',2018,19,0,1,'Listão','Aluno Regular','Regular'
'202312051',2023,,'1. Semestre','M',1,18,'OUTRA','Não informado',0,2,1,'N',13.0,1.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,9.14,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,613.80,462.80,448.50,791.90,740.00,?,?,?,?,?,?,?,0.2247750169908236,8.83,0.454,0.0,0.0,0.0,0.545,1,?,'N',2023,18,0,0,'Chamada','Aluno Regular','Regular'
'201912621',2019,,'1. Semestre','M',2,29,'BRANCA','Não informado',4,6,-3,'N',5.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,22,16,1,1,0,1,3,44,4.9,-1,5.5, 'Nao', 'F', 'F',?,0,0,?,?,551.90,636.80,506.10,749.90,520.00,4,?,?,?,?,?,7          ,-0.003866717094992,5.09,0.5,0.363,0.022,0.022,0.068,0,96878000,'N',2019,24,0,0,'Chamada','Aluno Regular','Regular'
'202010912',2020,,'1. Semestre','M',2,29,'BRANCA','Não informado',3,6,-1,'N',13.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,18,6,1,8,0,1,3,37,6.21,0,6.16, 'Nao', 'F', 'F',?,0,0,?,?,594.70,633.20,607.20,761.20,600.00,2,1          ,5          ,149        ,0          ,0          ,4          ,0.1913250386205691,6.11,0.486,0.162,0.027,0.216,0.081,1,97095530,'N',2015,25,0,2,'Listão','Aluno Regular','Regular'
'202210594',2022,,'1. Semestre','M',1,20,'BRANCA','Não informado',1,4,1,'S',54.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,16,0,0,0,0,1,8,25,8.72,1,12.5, 'Nao', 'F', 'F',?,0,0,?,?,594.40,570.80,572.50,715.90,780.00,2,?,?,?,?,?,5          ,0.5418428425207893,8.69,0.64,0.0,0.0,0.0,0.32,1,97060480,'N',2022,18,0,0,'Listão','Aluno Regular','Regular'
'202112513',2021,,'1. Semestre','F',1,20,'BRANCA','Não informado',2,6,1,'N',1.0,0.0, 'F', 'F', 'F','Privada - Com Bolsa Integral',?,?,?,?,?,?,?,?,22,3,0,1,0,1,5,32,7.61,1,8.0, 'Nao', 'F', 'F',?,0,0,?,?,581.10,444.10,536.10,584.80,680.00,3,?,?,?,?,?,7          ,0.3328994832827927,7.57,0.687,0.093,0.0,0.031,0.156,0,97020760,'N',2021,18,0,0,'Chamada','Aluno Regular','Regular'
'202012395',2020,,'1. Semestre','M',1,21,'OUTRA','Não informado',3,6,-1,'N',3.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,15,10,0,0,0,0,5,30,4.99,-1,5.0, 'Nao', 'F', 'F',?,0,0,?,?,565.80,480.60,437.10,622.30,720.00,?,3          ,6          ,811        ,0          ,0          ,9          ,0.0534585921697063,4.97,0.5,0.333,0.0,0.0,0.166,0,?,'N',2020,18,0,0,'Chamada','Aluno Regular','Regular'
'202110745',2021,,'1. Semestre','F',1,21,'OUTRA','Não informado',2,6,1,'N',238.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,15,10,0,1,0,0,6,32,5.48,0,8.0, 'Nao', 'T', 'T', 'A',1275,568,'02/02/2022','31/07/2025',585.50,568.50,542.00,583.60,900.00,4,1          ,1          ,66         ,0          ,0          ,6          ,0.013356606907973,5.5,0.468,0.312,0.0,0.031,0.187,1,97511270,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'201813127',2018,,'1. Semestre','M',2,24,'BRANCA','Não informado',5,6,-5,'S',17.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,30,19,1,1,0,0,1,52,4.88,-1,5.2, 'Nao', 'T', 'T', 'A',2078,1949,'23/04/2018','31/12/2023',548.90,626.20,571.90,616.00,640.00,3,?,?,?,?,?,?,0.0327056723865058,5.66,0.576,0.365,0.019,0.019,0.019,1,97045190,'S',2018,19,0,0,'Chamada','Aluno Regular','Regular'
'202011349',2020,,'1. Semestre','M',1,21,'OUTRA','Não informado',3,6,-1,'S',19.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,14,10,0,0,0,0,5,29,4.88,-1,4.83, 'Nao', 'F', 'F',?,0,0,?,?,559.80,572.40,435.40,600.70,580.00,2,?,?,?,?,?,9          ,0.0300013590624996,4.87,0.482,0.344,0.0,0.0,0.172,0,97010200,'N',2020,18,0,0,'Listão','Aluno Regular','Regular'
'202310862',2023,,'1. Semestre','F',1,19,'BRANCA','Não informado',0,2,1,'S',52.0,2.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,5,10,9.38,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,633.80,637.90,601.00,674.20,820.00,2,?,?,?,?,?,?,0.2247750169908236,9.12,0.5,0.0,0.0,0.0,0.5,1,97010004,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202110783',2021,,'1. Semestre','F',1,23,'BRANCA','Não informado',2,6,1,'N',32.0,0.0, 'T', 'F', 'F','Não Informado',?,?,?,?,?,?,?,?,6,9,2,5,0,0,5,27,3.97,-1,6.75, 'Nao', 'T', 'T', 'A',1158,451,'30/05/2022','31/07/2025',588.30,641.20,571.80,606.00,900.00,1,?,?,?,?,?,9          ,-0.3118749723911244,3.76,0.222,0.333,0.074,0.185,0.185,1,97105090,'N',2017,20,0,1,'Listão','Aluno Regular','Regular'
'202312087',2023,,'1. Semestre','F',1,18,'BRANCA','Não informado',0,2,1,'S',15.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,3,2,0,0,0,0,4,9,5.12,0,1.0, 'Nao', 'F', 'F',?,0,0,?,?,571.00,502.10,571.10,503.70,820.00,4,?,?,?,?,?,?,-0.1345591536762673,4.95,0.333,0.222,0.0,0.0,0.444,1,96540000,'N',2023,18,0,0,'Chamada','Aluno Regular','Regular'
'202011226',2020,,'1. Semestre','M',1,21,'BRANCA','Não informado',3,6,-1,'N',1.0,0.0, 'T', 'F', 'F','Privada',?,?,?,?,?,?,?,?,26,0,0,0,0,0,9,35,8.4,1,5.83, 'Nao', 'F', 'F',?,0,0,?,?,555.30,565.90,544.70,631.60,780.00,?,?,?,?,?,?,5          ,0.5421345286095534,8.46,0.742,0.0,0.0,0.0,0.257,1,?,'N',2020,18,0,0,'Listão','Aluno Regular','Regular'
'202112572',2021,,'1. Semestre','M',1,23,'BRANCA','Não informado',2,6,1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,25,2,0,1,0,1,3,32,7.79,1,8.0, 'Nao', 'F', 'F',?,0,0,?,?,577.40,622.50,552.00,592.10,740.00,2,1          ,14         ,1357       ,1          ,0          ,5          ,0.4750241932806091,7.74,0.781,0.062,0.0,0.031,0.093,0,97010150,'N',2021,20,0,0,'Chamada','Aluno Regular','Regular'
'202310894',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,1,0,0,0,0,5,10,7.04,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,627.10,621.00,614.10,680.90,820.00,3,?,?,?,?,?,?,0.0297875167504382,7.06,0.4,0.1,0.0,0.0,0.5,1,97035000,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202310895',2023,,'1. Semestre','M',1,18,'BRANCA','Não informado',0,2,1,'N',19.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,9.14,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,624.90,628.70,589.30,706.60,760.00,2,?,?,?,?,?,?,0.2247750169908236,8.86,0.454,0.0,0.0,0.0,0.545,1,97050500,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202211033',2022,,'1. Semestre','M',1,20,'BRANCA','Não informado',1,4,1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,5,3,6,5,0,0,6,25,4.06,-1,12.5, 'Nao', 'F', 'F',?,0,0,?,?,622.00,648.90,583.20,664.00,720.00,2,?,?,?,?,?,6          ,-0.3010298259949627,3.94,0.2,0.12,0.24,0.2,0.24,1,97095190,'N',2022,18,0,0,'Listão','Aluno Regular','Regular'
'202212209',2022,,'1. Semestre','M',1,22,'BRANCA','Não informado',1,4,1,'N',309.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,12,0,0,7,0,0,6,25,8.22,1,12.5, 'Nao', 'F', 'F',?,0,0,?,?,590.40,625.10,620.80,684.50,660.00,1,?,?,?,?,?,5          ,0.4688070865673878,8.09,0.48,0.0,0.0,0.28,0.24,1,97105215,'S',2022,20,0,0,'Chamada','Aluno Regular','Regular'
'202211064',2022,,'1. Semestre','M',1,19,'BRANCA','Não informado',1,4,1,'N',36.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,14,2,0,0,0,0,6,22,6.92,0,11.0, 'Nao', 'F', 'F',?,0,0,?,?,589.90,654.30,463.50,652.20,840.00,2,?,?,?,?,?,6          ,0.3408703626816722,6.96,0.636,0.09,0.0,0.0,0.272,0,97015540,'N',2022,18,0,0,'Listão','Aluno Regular','Regular'
'202110904',2021,,'1. Semestre','M',1,21,'OUTRA','Não informado',2,6,1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,24,2,2,0,0,0,8,36,6.89,0,9.0, 'Nao', 'F', 'F',?,0,0,?,?,650.50,644.90,503.50,679.20,920.00,3,1          ,1          ,25         ,0          ,0          ,2          ,0.2958450172125064,7.06,0.666,0.055,0.055,0.0,0.222,1,97030660,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'202012373',2020,,'1. Semestre','M',2,25,'OUTRA','Não informado',3,6,-1,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,29,1,0,1,0,0,3,34,9.0,1,5.66, 'Nao', 'F', 'F',?,0,0,?,?,571.20,577.00,506.60,618.30,520.00,1,1          ,3          ,339        ,0          ,0          ,?,0.467237040909129,8.84,0.852,0.029,0.0,0.029,0.088,0,97095760,'S',2016,22,0,1,'Chamada','Aluno Regular','Regular'
'202113029',2021,,'1. Semestre','M',1,20,'BRANCA','Não informado',2,4,-1,'S',12.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,15,0,0,0,0,0,5,20,7.84,1,5.0, 'Nao', 'T', 'T', 'A',857,150,'27/03/2023','31/07/2025',588.60,612.50,526.50,503.80,660.00,2,?,?,?,?,?,8          ,0.577965698688842,7.77,0.75,0.0,0.0,0.0,0.25,0,97010430,'S',2021,18,0,0,'Chamada','Aluno Regular','Regular'
'202310982',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'S',46.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,9.43,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,575.80,619.80,563.20,731.90,820.00,1,?,?,?,?,?,?,0.2247750169908236,9.22,0.454,0.0,0.0,0.0,0.545,1,97105050,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202210772',2022,,'1. Semestre','M',1,20,'BRANCA','Não informado',1,4,1,'S',153.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,11,4,0,1,0,1,7,24,6.74,0,12.0, 'Nao', 'T', 'T', 'A',1575,503,'08/04/2022','31/07/2026',590.50,587.00,463.80,669.80,640.00,4,?,?,?,?,?,5          ,0.1314784624252603,6.68,0.458,0.166,0.0,0.041,0.291,1,97770000,'N',2022,18,0,0,'Listão','Aluno Regular','Regular'
'202010915',2020,,'1. Semestre','F',1,23,'BRANCA','Não informado',3,6,-1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,28,6,2,0,0,0,6,42,6.42,0,7.0, 'Nao', 'F', 'F',?,0,0,?,?,614.50,634.00,592.70,693.40,680.00,2,?,?,?,?,?,1          ,0.1822160154853395,6.23,0.666,0.142,0.047,0.0,0.142,0,97050430,'N',2020,19,0,0,'Listão','Aluno Regular','Regular'
'202011124',2020,,'1. Semestre','F',1,22,'BRANCA','Não informado',3,6,-1,'S',29.0,4.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,29,0,0,3,0,1,6,39,8.76,1,6.5, 'Nao', 'F', 'F',?,0,0,?,?,610.10,646.70,624.40,676.30,600.00,2,3          ,5          ,218        ,0          ,0          ,?,0.4195984110309346,8.18,0.743,0.0,0.0,0.076,0.153,0,97010033,'N',2020,19,0,0,'Listão','Aluno Regular','Regular'
'202211217',2022,,'1. Semestre','M',2,24,'BRANCA','Não informado',1,4,1,'S',0.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,12,0,1,0,0,0,5,18,8.85,1,9.0, 'Nao', 'F', 'F',?,0,0,?,?,581.00,668.90,569.00,674.20,660.00,1,?,?,?,?,?,5          ,0.4993385889101946,8.61,0.666,0.0,0.055,0.0,0.277,1,97095540,'N',2018,23,0,0,'Listão','Aluno Regular','Regular'
'202112728',2021,,'1. Semestre','M',1,21,'BRANCA','Não informado',2,6,1,'S',24.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,28,0,0,1,0,0,6,35,8.78,1,8.75, 'Nao', 'F', 'F',?,0,0,?,?,529.50,630.70,591.50,697.70,660.00,3,?,?,?,?,?,2          ,0.4939841427435699,8.8,0.8,0.0,0.0,0.028,0.171,1,97020700,'S',2021,18,0,0,'Chamada','Aluno Regular','Regular'
'202312173',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,1,0,0,0,0,5,10,7.33,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,578.00,517.40,489.10,581.10,660.00,3,?,?,?,?,?,?,0.060428346564118,6.96,0.4,0.1,0.0,0.0,0.5,1,97020360,'N',2023,18,0,0,'Chamada','Aluno Regular','Regular'
'202210945',2022,,'1. Semestre','M',1,21,'OUTRA','Não informado',1,4,1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,14,2,0,0,0,1,5,22,6.79,0,11.0, 'Nao', 'F', 'F',?,0,0,?,?,580.10,460.80,555.70,734.20,900.00,?,?,?,?,?,?,6          ,0.4046102903841278,6.75,0.636,0.09,0.0,0.0,0.227,0,?,'N',2022,19,0,0,'Listão','Aluno Regular','Regular'
'202310754',2023,,'1. Semestre','M',1,18,'BRANCA','Não informado',0,2,1,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,5,10,9.4,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,625.30,680.30,596.80,669.10,820.00,2,?,?,?,?,?,?,0.2247750169908236,9.07,0.5,0.0,0.0,0.0,0.5,1,97010000,'N',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202011396',2020,,'1. Semestre','F',1,22,'BRANCA','Não informado',3,6,-1,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,30,2,2,1,0,0,4,39,7.98,1,6.5, 'Nao', 'F', 'F',?,0,0,?,?,610.30,627.90,568.50,668.60,640.00,?,2          ,5          ,226        ,6          ,0          ,?,0.2613703257429722,7.96,0.769,0.051,0.051,0.025,0.102,1,?,'N',2020,18,0,0,'Listão','Aluno Regular','Regular'
'2016510177',2016,,'1. Semestre','M',3,69,'BRANCA','Casado(a)',7,6,-9,'N',0.0,0.0, 'F', 'F', 'F','Não Informado',?,?,?,?,?,?,?,?,3,29,5,3,0,0,2,42,1.42,-1,3.0, 'Nao', 'F', 'F',?,0,0,?,?,?,?,?,?,?,3,1          ,1          ,214        ,0          ,0          ,9          ,-0.0228704134547052,3.64,0.071,0.69,0.119,0.071,0.047,0,97015121,'N',1986,61,0,0,'Listão','Aluno Regular','Regular'
'202310570',2023,,'1. Semestre','M',1,20,'BRANCA','Não informado',0,2,1,'N',24.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,3,2,0,0,0,0,4,9,5.02,0,1.0, 'Nao', 'F', 'F',?,0,0,?,?,609.80,629.70,539.90,689.40,800.00,3,?,?,?,?,?,?,-0.1345591536762673,5.07,0.333,0.222,0.0,0.0,0.444,1,97045030,'N',2023,19,0,0,'Listão','Aluno Regular','Regular'
'202311024',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'N',1.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,4,1,0,0,0,0,6,11,7.48,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,574.40,634.10,662.60,594.30,940.00,2,?,?,?,?,?,?,0.0297875167504382,7.36,0.363,0.09,0.0,0.0,0.545,1,97015190,'N',2023,19,0,0,'Listão','Aluno Regular','Regular'
'202111155',2021,,'1. Semestre','M',1,20,'BRANCA','Solteiro(a)',2,6,1,'S',137.0,1.0, 'T', 'F', 'T','Pública',?,?,?,?,?,?,?,?,25,2,0,0,0,0,5,32,8.07,1,8.0, 'Nao', 'T', 'T', 'A',1380,673,'20/10/2021','31/07/2025',622.40,581.80,563.30,732.90,820.00,4,?,?,?,?,?,2          ,0.4565611624648618,8.07,0.781,0.062,0.0,0.0,0.156,1,98170000,'N',2021,18,0,0,'Listão','Aluno Regular','Regular'
'201910204',2019,,'1. Semestre','M',2,31,'BRANCA','Não informado',4,6,-3,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,20,5,1,8,0,0,1,35,7.08,1,4.37, 'Nao', 'F', 'F',?,0,0,?,?,655.80,718.40,701.90,731.40,640.00,2,7          ,74         ,8072       ,0          ,0          ,?,0.3429863125615769,7.02,0.571,0.142,0.028,0.228,0.028,0,97015440,'N',2010,26,0,2,'Listão','Aluno Regular','Regular'
'202012355',2020,,'1. Semestre','M',2,30,'BRANCA','Não informado',3,6,-1,'N',14.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,18,9,0,5,0,1,2,35,6.32,0,5.83, 'Nao', 'F', 'F',?,0,0,?,?,587.90,602.80,526.10,594.60,600.00,1,2          ,2          ,352        ,0          ,0          ,4          ,0.1296436922005902,6.72,0.514,0.257,0.0,0.142,0.057,1,97110000,'N',2012,27,0,2,'Chamada','Aluno Regular','Regular'
'201811385',2018,,'1. Semestre','M',2,24,'BRANCA','Não informado',5,6,-5,'N',38.0,10.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,22,16,6,0,0,0,5,49,4.18,-1,4.9, 'Nao', 'F', 'F',?,0,0,?,?,626.80,702.00,634.80,780.80,680.00,1,?,?,?,?,?,9          ,-0.0659274836677488,4.14,0.448,0.326,0.122,0.0,0.102,0,97105430,'N',2015,18,0,0,'Listão','Aluno Regular','Regular'
'201810979',2018,,'1. Semestre','M',1,22,'OUTRA','Não informado',5,6,-5,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,4,18,7,0,2,0,0,31,1.36,-1,3.1, 'Nao', 'F', 'F',?,0,0,?,?,626.10,648.30,629.90,674.30,640.00,?,?,?,?,?,?,9          ,-0.4070216511362376,1.45,0.129,0.58,0.225,0.0,0.0,1,?,'N',2018,16,0,0,'Listão','Aluno Regular','Regular'
'202312124',2023,,'1. Semestre','M',1,20,'OUTRA','Não informado',0,2,1,'S',13.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,5,10,8.02,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,560.20,616.30,508.30,622.30,620.00,2,?,?,?,?,?,?,0.2247750169908236,7.83,0.5,0.0,0.0,0.0,0.5,1,97015661,'N',2022,19,0,1,'Chamada','Aluno Regular','Regular'
'202312125',2023,,'1. Semestre','M',1,22,'BRANCA','Não informado',0,1,0,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,0,0,0,0,2,0,0,2,0.0,-1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,543.20,587.20,477.70,616.70,700.00,2,?,?,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,97050240,'N',2021,21,0,2,'Chamada','Aluno Regular','Regular'
'2015520101',2015,,'2. Semestre','M',2,30,'BRANCA','Solteiro(a)',8,6,-10,'N',36.0,1.0, 'T', 'F', 'F','Não Informado',?,?,?,'Boa','Regulares','Boa','Regulares',?,16,28,6,5,1,0,1,57,3.54,-1,3.56, 'Nao', 'T', 'F',?,0,0,?,?,?,?,?,?,?,3,2          ,?,?,?,?,7          ,-0.1215763531369003,4.88,0.28,0.491,0.105,0.087,0.017,1,97070270,'N',2011,22,0,1,'Listão','Aluno Regular','Regular'
'202112062',2021,,'1. Semestre','F',2,26,'BRANCA','Não informado',2,5,0,'S',2.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,9,4,0,1,0,3,21,2.3,-1,5.25, 'Nao', 'F', 'F',?,0,0,?,?,518.80,542.50,557.70,470.40,720.00,?,1          ,3          ,1101       ,0          ,0          ,8          ,-0.3669877730829312,2.07,0.19,0.428,0.19,0.0,0.142,0,?,'S',2017,23,0,1,'Chamada','Aluno Regular','Regular'
