MATRICULA,ANO_INGRESSO,ANO_EVASAO,PERIODO_INGRESSO,SEXO,FAIXA_ETARIA,IDADE,ETNIA,ESTADO_CIVIL,TEMPO_CURSO,PERIODO_ATUAL,POSICAO_SEM,COD_COTA,MEDIA_REFEICOES_SEM_RU,MEDIA_RETIRADAS_SEM_BIBLIOTECA,BOLSISTA,MORADIA_CEU,MONITORIA,FORMACAO_ENSINO_MEDIO,INICIOU_CURSO_SUPERIOR,COMO_MANTER_DURANTE_CURSO,MOTIVO_OPTOU_CURSO,PLANO_ENSINO,ORIENTACAO_LABORATORIOS,ATUACAO_COORDENADOR,PRATICA_ESTAGIO,CORPO_DOCENTE,APROVADAS,REPROVADAS,REP_FREQ,DISP_NOTA,TRANC_TOT,TRANC_PARC,MATRICULADAS,TOTAL,MEDIA,DESEMP_ACAD,MEDIA_DISC_MATRICULA,ATEND_PSICOSOCIAL,BOLSA_BSE,BOLSA_BSE_ATIVA_SEM,BOLSA_BSE_SITUACAO,BOLSA_BSE_TEMPO_TOTAL_DIAS,BOLSA_BSE_TEMPO_CORRENTE_DIAS,BOLSA_BSE_DT_INICIO,BOLSA_BSE_DT_TERMINO,NOTA_LING,NOTA_HUMA,NOTA_NATU,NOTA_MATE,NOTA_REDA,MEDIDA_BAIRRO,DIASACESSOONLINE,TOTAL_SESSOES,TEMPO_TOTAL_SEG,TOTAL_HIGHLIGHTS,TOTAL_BOOKMARKS,PREVISAO_ANTERIOR,DIFICULDADE_ESTUDANTE,CRA,MEDIA_APROVADAS,MEDIA_REPROVADAS,MEDIA_REP_FREQ,MEDIA_DISP_NOTA,MEDIA_MATRICULADAS,TOTAL_PROJETOS,CEP_ENDERECO,PRIMEIRA_GERACAO_SUPERIOR,ANO_INGRESSO_INSTITUICAO,IDADE_INGRESSO_CURSO,INGRESSO_MESMO_CURSO,MATRICULAS_OUTRO_CURSO,TIPO_CHAMADA_INGRESSO,FORMA_EVASAO,CLASSE
'201321131',2013,,'2. Semestre','M',2,28,'BRANCA','Solteiro(a)',10,6,-14,'N',2.0,1.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,17,19,28,2,0,3,5,74,2.36,-1,3.7, 'Nao', 'F', 'F',?,0,0,?,?,?,?,?,?,?,?,3          ,5          ,1365       ,0          ,0          ,7          ,-0.3593885109490314,2.62,0.229,0.256,0.378,0.027,0.067,0,?,'N',2011,17,0,1,'Listão','Aluno Regular','Regular'
'202010937',2020,,'1. Semestre','M',1,22,'OUTRA','Não informado',3,6,-1,'S',202.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,33,1,1,1,0,0,1,37,8.23,1,6.16, 'Nao', 'T', 'T', 'A',1611,1269,'03/03/2020','31/07/2024',569.40,571.40,519.30,588.10,620.00,1,3          ,79         ,12527      ,84         ,0          ,?,0.411380137549059,8.14,0.891,0.027,0.027,0.027,0.027,1,97105900,'N',2020,18,0,0,'Listão','Aluno Regular','Regular'
'201810485',2018,,'1. Semestre','M',2,33,'OUTRA','Não informado',5,6,-5,'N',18.0,57.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,33,9,3,1,0,0,1,47,6.44,0,4.7, 'Nao', 'F', 'F',?,0,0,?,?,618.90,717.50,627.40,575.70,680.00,2,2          ,10         ,5916       ,0          ,1          ,1          ,0.2074067458716052,6.48,0.702,0.191,0.063,0.021,0.021,1,97010530,'S',2010,27,0,1,'Listão','Aluno Regular','Regular'
'202311170',2023,,'1. Semestre','M',1,19,'OUTRA','Não informado',0,2,1,'S',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,4,1,0,0,0,0,5,10,7.37,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,593.60,557.80,522.40,666.00,680.00,?,?,?,?,?,?,?,0.0297875167504382,7.27,0.4,0.1,0.0,0.0,0.5,1,?,'S',2023,18,0,0,'Listão','Aluno Regular','Regular'
'202311076',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'N',0.0,0.0, 'F', 'F', 'F','Privada',?,?,?,?,?,?,?,?,5,0,0,0,0,0,5,10,7.86,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,657.50,672.80,673.30,703.80,860.00,4,?,?,?,?,?,?,0.2247750169908236,7.74,0.5,0.0,0.0,0.0,0.5,1,97185000,'N',2023,19,0,0,'Listão','Aluno Regular','Regular'
'202312045',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'S',29.0,5.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,7,12,8.98,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,589.80,586.20,466.20,704.60,700.00,?,?,?,?,?,?,?,0.1926643002778488,8.2,0.416,0.0,0.0,0.0,0.583,1,?,'N',2023,18,0,0,'Chamada','Aluno Regular','Regular'
'202310814',2023,,'1. Semestre','M',1,19,'BRANCA','Não informado',0,2,1,'N',54.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,1,0,0,5,11,8.96,1,1.0, 'Nao', 'F', 'F',?,0,0,?,?,608.30,614.00,541.90,763.40,820.00,4,?,?,?,?,?,?,0.3617722483185895,8.88,0.454,0.0,0.0,0.09,0.454,1,96845680,'N',2023,19,0,0,'Listão','Aluno Regular','Regular'
'202310327',2023,,'1. Semestre','M',1,21,'BRANCA','Não informado',0,2,1,'S',87.0,0.0, 'T', 'F', 'F','Pública',?,?,?,?,?,?,?,?,5,0,0,0,0,0,6,11,9.83,1,1.0, 'Nao', 'T', 'T', 'A',1593,156,'21/03/2023','31/07/2027',595.90,634.70,626.70,675.60,740.00,4,?,?,?,?,?,?,0.2247750169908236,9.55,0.454,0.0,0.0,0.0,0.545,1,95095285,'N',2023,21,0,0,'Listão','Aluno Regular','Regular'
'202211923',2022,,'1. Semestre','M',1,20,'BRANCA','Não informado',1,4,1,'S',59.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,13,2,0,0,0,0,6,21,7.07,1,10.5, 'Nao', 'F', 'F',?,0,0,?,?,546.70,588.10,475.20,616.30,780.00,4,?,?,?,?,?,6          ,0.3569261805385746,7.04,0.619,0.095,0.0,0.0,0.285,0,97760000,'N',2022,18,0,0,'Chamada','Aluno Regular','Regular'
'201910567',2019,,'1. Semestre','M',2,24,'BRANCA','Não informado',4,6,-3,'N',0.0,0.0, 'F', 'F', 'F','Pública',?,?,?,?,?,?,?,?,29,6,1,0,0,0,1,37,6.99,0,4.62, 'Nao', 'F', 'F',?,0,0,?,?,591.60,665.30,628.00,614.80,620.00,3,?,?,?,?,?,1          ,0.2765424198053047,7.01,0.783,0.162,0.027,0.0,0.027,0,97045020,'N',2019,20,0,0,'Listão','Aluno Regular','Regular'
